,CL=F,BZ=F,NG=F,RB=F,HO=F,QA=F,QU=F,QG=F,QH=F,GC=F,SI=F,HG=F,PL=F,PA=F,ALI=F,ZS=F,ZM=F,ZL=F,ZW=F,ZC=F,ZO=F,ZR=F,KE=F,CC=F,CJ=F,SB=F,YO=F,KC=F,OJ=F,LE=F,GF=F,HE=F,DC=F,HY=F
MPC,0.42714236613417206,0.42714528671909746,0.10753722480008497,0.44880131666794887,0.4144045763818083,-0.27832461900718203,0.447925353896393,0.10267019456297788,0.0651210608080005,0.05240910943306686,0.11971935091682702,0.2480311540409212,0.19143133438760324,0.16975576269820686,0.16051546845404516,0.1450525805277941,0.013938383783291229,0.2194374985862234,0.06704959721582955,0.08317690858626701,0.027574696154158564,0.05044686356891458,0.06880673194281373,0.12418551249432092,0.10294277030288301,0.12099203450071433,0.11973506480157001,0.06048822158649107,0.04740334015443166,0.086925869296847,0.07821914273971999,0.04553668026325263,0.04914991337580358,0.29654166869102616
EOG,0.5795006406146699,0.5873156387049548,0.12761268566672385,0.48938714459431587,0.46590328236687106,-0.29433999759838164,0.47044095571952227,0.10977791710038097,0.06217852685274344,0.13524618290173976,0.18046460634728526,0.2709571793951992,0.20894272232516764,0.18848153159188208,0.20395516841257766,0.19824982616499118,0.05424129610533923,0.26860097940458777,0.10343146603011028,0.1372371220337279,0.06216735854545113,0.06592436190972602,0.11672268233595307,0.08372687298022122,0.07549768153925701,0.1478492830198103,0.1465328041113519,0.08102251342744062,0.02293240522453149,0.11126532388872111,0.07110073469631348,0.04450850230786063,0.0010574711123033827,0.2918964567240552
HES,0.5350236577727188,0.535403240716825,0.11369507850773757,0.4522276316746198,0.4316346399464279,-0.28100096805026226,0.44572110523142766,0.0970622747455036,0.05382150820269252,0.0850443176883733,0.1581881625659026,0.2745760194617547,0.1994373853571931,0.1822824126239509,0.19718845541839652,0.16827716693898429,0.02035227476267484,0.2518659693318133,0.08274928649415582,0.10464796885915383,0.06859022613222221,0.08016024339066526,0.09372003613603179,0.0919436083579104,0.07450429338327955,0.13675340890724919,0.13535678365887407,0.07791920092666216,0.026986470061113325,0.09681693655835666,0.07670247840418772,0.05307843078182039,0.03917909468332453,0.34820891039579255
DVN,0.5691032790080139,0.5731372891056664,0.14997057363095806,0.467169260159744,0.4714445935931789,-0.31703334232841884,0.46377146260826724,0.14376177899187303,0.07957403017959719,0.10285472307498635,0.17437567577374422,0.2821449983710993,0.22053775250445518,0.22077492146603228,0.19950067096302274,0.18060603660259233,0.04103171667728982,0.24664232606971903,0.09024788615753797,0.11390400920241414,0.07510072437906333,0.05793816012456791,0.09799008755972714,0.07747917464868903,0.06346717851393023,0.148026326834403,0.14649546759486062,0.06664344410846416,0.026925631294351104,0.08888518487986577,0.060671629301770065,0.020165585187450943,-0.005509709729971492,0.32597889338903624
KMI,0.3761484757904709,0.3778223098514486,0.180406049880421,0.3385583425622833,0.3032105458367606,-0.3386790949274554,0.33269957255348986,0.16969069615411875,0.10985853918926976,0.1379434775409958,0.2000149200631865,0.24622029422820088,0.22087251461110494,0.19838409798537385,0.18572540830508508,0.14433704102680356,0.05115182229784029,0.19658514484187972,0.08406051281746887,0.0811169475508087,0.06464155537577682,0.058684348171493525,0.09159836012036858,0.09031093285923235,0.055179540367006716,0.1076819419922842,0.10744914842128388,0.09748528349022079,0.016635959674500295,0.07822071621382093,0.0878323670980146,0.04340744764761576,0.008951701728731054,0.30777100069727337
WMB,0.3853955780549556,0.38062874034539096,0.2168154198896787,0.341246157434921,0.30350013377030627,-0.31902391072093683,0.34737624420230095,0.20882617551758167,0.09958657913214028,0.1250157546374626,0.1843011586057954,0.2665302400111538,0.20350226342848615,0.1934301072869589,0.19274647794298763,0.14474410182300051,0.023846936837565277,0.1998521877389583,0.09335004756859215,0.09412861562012632,0.0626950022958537,0.05433011846469941,0.09681240061123458,0.08497522804456628,0.06089987095731232,0.10267552257948774,0.10221021679067485,0.1028335864603369,0.021766076284321298,0.11959128391007633,0.1139014621599272,0.028437463101896005,-0.0014025238401388302,0.2834974408551863
LNG,0.31095779328171685,0.3248113921538339,0.1525004704033387,0.28809147619022496,0.2603333041878242,-0.2539797629691241,0.29824902330755626,0.1480106525127807,0.0822540611847084,0.07410475341462539,0.11232324733750089,0.20012146366983066,0.13153318614756157,0.13642796861808001,0.1710686923015641,0.10804115871389199,0.01891075648990186,0.145434365401446,0.03658882561948071,0.02710727406792105,0.028278524304305493,0.06764782109246809,0.033749661647575674,0.09151087309275578,0.07183587478349188,0.08648668046140574,0.08727837277998746,0.04306263088045206,-0.010101279765093113,0.07974497312871565,0.09488771102321583,0.04059693564154439,0.02143294927094705,0.20301764559350458
EQT,0.2516872124367103,0.25955316900079345,0.45247682093288394,0.24537634088084143,0.22285807584506367,-0.23548801698764715,0.23325194708341104,0.4540308905745336,0.08999052027736341,0.08915038539745697,0.12665861498244166,0.17993225597679094,0.1274133176758633,0.12879615139439415,0.13524747651016752,0.1159903406421018,0.06872214823699564,0.11336961108297208,0.08001743453370745,0.0702629058358694,0.05454326434907575,0.07090916576661849,0.09279656725339461,0.06073361453527258,0.03982356629733603,0.060290776207655765,0.059628519349657974,0.09345768393925916,0.01126842252818151,0.04873416195348916,0.04411019377353308,0.03864534851999355,0.0019600130719612347,0.208010589064206
APA,0.5589123154076561,0.5676203468775283,0.1505370022142629,0.4627376635819571,0.4435390343883648,-0.29751025682576754,0.45766759424184006,0.13966257979920335,0.08362453382900242,0.08344184548420566,0.14960181663603597,0.2737210296111826,0.1841670140416718,0.17470779892606783,0.20184312523814119,0.16996149783318526,0.05700303649289799,0.22765411104276428,0.09637336424321089,0.11891012586867113,0.07108275374548395,0.055797316183306675,0.10715818263356523,0.08450869399266593,0.06654896278533108,0.14080398312487075,0.13980896760201356,0.07232429235715575,0.021106933216244184,0.0905847831412312,0.06221654094853396,0.04960418306288498,0.005543425393351668,0.30716941129837416
HAL,0.5701012553704591,0.5738040789688649,0.13002282776900398,0.4717947372162019,0.4551333742293882,-0.30299901984085587,0.4724860685556971,0.11551873976148891,0.08410357384045479,0.10322715745914253,0.17642700836945077,0.29702041901828485,0.23036185573527074,0.21911077054064126,0.23497381332268932,0.18408343197926774,0.06329352256471564,0.23967564222627114,0.07629333631184007,0.12482172719578576,0.05610286883483275,0.04275323666505574,0.09365595309950302,0.10742325593530337,0.10460325805817516,0.13756248121426276,0.13607552195925823,0.07685628879921454,0.038926887656164415,0.13260168346994083,0.09328707640850703,0.07140126092999038,-0.0007852150512566265,0.32455120999805853
