Stock,Commodity,Cluster,Correlation,P_Value,Significant,Abs_Corr
BBY,ZS=F,0,0.05187694166266932,0.05933596749087806,False,0.05187694166266932
DHR,ZL=F,0,0.051875984689165086,0.05934066420525129,False,0.051875984689165086
GILD,HO=F,0,0.05178732114964527,0.0597771532925731,False,0.05178732114964527
PYPL,KC=F,0,0.05177756799489583,0.05982532989149583,False,0.05177756799489583
AMD,ZL=F,0,0.05175291835161196,0.05994723245309506,False,0.05175291835161196
BA,KE=F,0,0.051735346445525236,0.06003425827263274,False,0.051735346445525236
CVS,CJ=F,0,0.051733550056975455,0.060043160877116294,False,0.051733550056975455
SYK,ZC=F,0,0.05171523556550965,0.06013398688486806,False,0.05171523556550965
VZ,ZC=F,0,0.05170279533147988,0.060195745895781486,False,0.05170279533147988
BG,HE=F,0,0.05145252075068601,0.06144942292738637,False,0.05145252075068601
ULTA,ZC=F,0,0.05136718541547863,0.06188179108783647,False,0.05136718541547863
MS,KE=F,0,0.05133960517551087,0.06202206836437969,False,0.05133960517551087
BMY,GC=F,0,0.05114475740622991,0.06302059830765405,False,0.05114475740622991
NOC,SB=F,0,0.05112485645341655,0.06312332698028775,False,0.05112485645341655
NOC,YO=F,0,0.05104838066871487,0.06351938202343844,False,0.05104838066871487
RTX,CJ=F,0,0.05104487938987008,0.06353756353168259,False,0.05104487938987008
ADM,ZO=F,0,0.05104289688282798,0.06354786023663594,False,0.05104289688282798
WMB,HE=F,0,0.05090224262218766,0.06428190964589471,False,0.05090224262218766
FNV,HY=F,0,0.05085878163175122,0.06451013372935911,False,0.05085878163175122
NEM,ZO=F,0,0.050708678313265844,0.06530350529333111,False,0.050708678313265844
NOW,CC=F,0,0.050471468363046654,0.06657365294975427,False,0.050471468363046654
TGT,CL=F,0,0.050347491866887674,0.06724553327314173,False,0.050347491866887674
CMCSA,SB=F,0,0.05030352443841962,0.06748514605042316,False,0.05030352443841962
CMCSA,YO=F,0,0.05023988557950297,0.06783320626242693,False,0.05023988557950297
RTX,CC=F,0,0.050221212229755785,0.06793561589836096,False,0.050221212229755785
HD,CJ=F,0,0.0502035096718437,0.06803281869929674,False,0.0502035096718437
CVS,YO=F,0,0.05019291621436177,0.06809104082776997,False,0.05019291621436177
CRM,KC=F,0,0.05013677606157901,0.06840027320139973,False,0.05013677606157901
MP,ZM=F,0,0.050024696498758854,0.06902108151606519,False,0.050024696498758854
COST,KC=F,0,0.04999499258344338,0.06918638423935984,False,0.04999499258344338
SJM,HE=F,0,-0.04995942378624283,0.06938475231598888,False,0.04995942378624283
LNG,KC=F,0,0.04994882693788403,0.06944394132772279,False,0.04994882693788403
CVS,SB=F,0,0.049919641857720146,0.06960716959334919,False,0.049919641857720146
CHTR,LE=F,0,0.04985357762997988,0.06997782044601251,False,0.04985357762997988
FNV,LE=F,0,0.04983328217587368,0.0700920116734952,False,0.04983328217587368
PFE,BZ=F,0,0.04978812460970086,0.07034663623866137,False,0.04978812460970086
UNH,KC=F,0,0.04977592288953993,0.07041556654868593,False,0.04977592288953993
T,KC=F,0,0.04963129488011769,0.07123682703970674,False,0.04963129488011769
AEP,LE=F,0,0.04959094408408307,0.07146735042696878,False,0.04959094408408307
VLO,OJ=F,0,0.0494316823818161,0.07238317831934332,False,0.0494316823818161
GOLD,HE=F,0,0.04936413165807012,0.07277451410235834,False,0.04936413165807012
HL,CJ=F,0,0.049293986057071096,0.07318271139058463,False,0.049293986057071096
SLB,ZO=F,0,0.04928494738547898,0.07323544581657919,False,0.04928494738547898
NEM,ZM=F,0,0.049225086766122826,0.0735854755757344,False,0.049225086766122826
EMR,KE=F,0,0.0492029857579018,0.07371505421287283,False,0.0492029857579018
INTC,CJ=F,0,0.04918734277843262,0.07380688189002586,False,0.04918734277843262
V,ZS=F,0,0.049127339635986214,0.07415998011755812,False,0.049127339635986214
AMZN,CC=F,0,0.04899690342007996,0.07493231129250953,False,0.04899690342007996
DLTR,CC=F,0,0.048962417070902806,0.07513760288968521,False,0.048962417070902806
SYK,OJ=F,0,0.04891522372219721,0.07541928032494483,False,0.04891522372219721
DPZ,KC=F,0,0.04886293499287361,0.07573237478554948,False,0.04886293499287361
AEM,ZM=F,0,0.04881033811731017,0.07604838238888977,False,0.04881033811731017
VLO,KC=F,0,0.04870985407716967,0.07665508811489542,False,0.04870985407716967
CVS,KC=F,0,0.04870822399155306,0.07666496269340811,False,0.04870822399155306
BP,ZO=F,0,0.04853931307366764,0.07769380380261488,False,0.04853931307366764
CAG,OJ=F,0,0.04848961287056217,0.07799865886793006,False,0.04848961287056217
AME,KC=F,0,0.048462894995348255,0.07816294473945712,False,0.048462894995348255
META,ZL=F,0,0.04843385413415195,0.07834183347159528,False,0.04843385413415195
D,LE=F,0,0.048429269361614395,0.07837010560060714,False,0.048429269361614395
SCCO,ZM=F,0,0.04839348078354134,0.07859108207715727,False,0.04839348078354134
WMT,KC=F,0,0.048370857913285964,0.07873102799438528,False,0.048370857913285964
IBM,OJ=F,0,0.04824766118859411,0.0794966859245985,False,0.04824766118859411
GE,CJ=F,0,0.04815292384647751,0.08008957481946871,False,0.04815292384647751
GOLD,OJ=F,0,0.048101238906384666,0.08041454152578746,False,0.048101238906384666
SLB,ZM=F,0,0.048064954542263075,0.0806433163570007,False,0.048064954542263075
EMR,GC=F,0,0.04804801418219313,0.08075030686580596,False,0.04804801418219313
CAG,GF=F,0,0.04764394233714512,0.08333661468375568,False,0.04764394233714512
CHTR,HO=F,0,0.047630637330363726,0.08342290156485753,False,0.047630637330363726
ROK,OJ=F,0,0.0476170425680904,0.08351114223895031,False,0.0476170425680904
LOW,ALI=F,0,0.04753632187668139,0.08403663915187816,False,0.04753632187668139
