Stock,Commodity,Cluster,Correlation,P_Value,Significant,Abs_Corr
EMR,PL=F,0,0.2659528642250766,7.140865625732016e-23,True,0.2659528642250766
C,HG=F,0,0.265798211167001,7.575333145075923e-23,True,0.265798211167001
GE,RB=F,0,0.265335471893922,9.03756034973747e-23,True,0.265335471893922
DOV,HG=F,0,0.2637781795034836,1.6326641523245854e-22,True,0.2637781795034836
ISRG,RB=F,0,0.2633721124086714,1.9036594301238684e-22,True,0.2633721124086714
PBR,HG=F,0,0.2631264420178576,2.0887277474094957e-22,True,0.2631264420178576
BLK,PL=F,0,0.26261433385721533,2.533592371127284e-22,True,0.26261433385721533
RIO,HO=F,0,0.2619123099168147,3.2990593501606315e-22,True,0.2619123099168147
SLB,ZL=F,0,0.2615135836445278,3.8313825908647148e-22,True,0.2615135836445278
GS,HG=F,0,0.2613400014451066,4.088865793396162e-22,True,0.2613400014451066
BAC,BZ=F,0,0.261178660290159,4.343494290904157e-22,True,0.261178660290159
SLB,PL=F,0,0.2610991606026471,4.474663127267593e-22,True,0.2610991606026471
WM,RB=F,0,0.26088325162216325,4.850982594703536e-22,True,0.26088325162216325
ITW,PL=F,0,0.2603054242704937,6.018992025215157e-22,True,0.2603054242704937
DAR,BZ=F,0,0.26015639764695303,6.362830858221953e-22,True,0.26015639764695303
MS,HG=F,0,0.2601429461229078,6.394805562470386e-22,True,0.2601429461229078
VLO,HG=F,0,0.25955986492620914,7.944569677353675e-22,True,0.25955986492620914
GS,BZ=F,0,0.2591538654188925,9.23743833854149e-22,True,0.2591538654188925
PH,BZ=F,0,0.25893202889488476,1.0029553330483014e-21,True,0.25893202889488476
NUE,RB=F,0,0.25867384137355376,1.1036293875427176e-21,True,0.25867384137355376
DE,BZ=F,0,0.2584797837904272,1.1858123875653212e-21,True,0.2584797837904272
COP,ZL=F,0,0.25826141381774925,1.2855390531977892e-21,True,0.25826141381774925
NUE,QU=F,0,0.25822264597699635,1.3040905595026517e-21,True,0.25822264597699635
DAR,HO=F,0,0.25790387187011377,1.4670105640864552e-21,True,0.25790387187011377
ECL,QU=F,0,0.2569897335080027,2.0542428032408264e-21,True,0.2569897335080027
JPM,BZ=F,0,0.2567238717034698,2.264998111744381e-21,True,0.2567238717034698
HES,ZL=F,0,0.25604032659724085,2.9100223794818053e-21,True,0.25604032659724085
ISRG,QU=F,0,0.2559640124542882,2.9924458780557907e-21,True,0.2559640124542882
SCHW,QU=F,0,0.2555111821721037,3.5311777122764944e-21,True,0.2555111821721037
ADM,BZ=F,0,0.2551922049726051,3.967129219014601e-21,True,0.2551922049726051
HES,PL=F,0,0.2551508676973706,4.027383583303092e-21,True,0.2551508676973706
C,PL=F,0,0.25432363492324384,5.442320816626703e-21,True,0.25432363492324384
DAR,HG=F,0,0.25353661036598385,7.240185097996032e-21,True,0.25353661036598385
LOW,PL=F,0,0.2533729786213481,7.681919766575931e-21,True,0.2533729786213481
CAT,PL=F,0,0.25328545316030016,7.929022778255225e-21,True,0.25328545316030016
SCCO,HO=F,0,0.25310607968525256,8.460226143354769e-21,True,0.25310607968525256
MS,BZ=F,0,0.25272890662149894,9.694536019518547e-21,True,0.25272890662149894
CSCO,QU=F,0,0.25201506699642606,1.2537079151050426e-20,True,0.25201506699642606
ISRG,PL=F,0,0.2519622423626117,1.2777503348615142e-20,True,0.2519622423626117
